key                                                         kind     notes                                                                               
----------------------------------------------------------  -------  ------------------------------------------------------------------------------------
AllTroopAttackPct                                           percent  added from pending_stat_keys                                                        
AllTroopHPPct                                               percent  created from pending                                                                
AllTroopProductionPct                                       percent  All troop production                                                                
ArcherTowerAttackPct                                        percent  Archer Tower attack                                                                 
AttackingDefensePct                                         percent  Attacking troops defense                                                            
AttackingDoubleItemsDropRateFromMonstersPct                 percent  added from pending_stat_keys                                                        
AttackingEnemyAttackPct                                     percent  added from pending_stat_keys                                                        
AttackingEnemyDefensePct                                    percent  added from pending_stat_keys                                                        
AttackingEnemyRangedAttackPct                               percent  added from pending_stat_keys                                                        
AttackingEnemySiegeMachineAttackPct                         percent  Attacking: enemy siege machine attack debuff                                        
AttackingGroundAttackPct                                    percent  approved: created from pending                                                      
AttackingGroundDefensePct                                   percent  added from pending_stat_keys                                                        
AttackingGroundHPPct                                        percent  added from pending_stat_keys                                                        
AttackingMarchSizePct                                       percent  approved                                                                            
AttackingMonstersAttackPct                                  percent  added from pending_stat_keys                                                        
AttackingMonstersStaminaCostReductionPct                    percent  Attacking monsters: stamina cost reduction                                          
AttackingMountedAttackPct                                   percent  approved: created from pending                                                      
AttackingMountedDefensePct                                  percent  approved: created from pending                                                      
AttackingMountedHPPct                                       percent  approved: created from pending                                                      
AttackingRangedAttackPct                                    percent  approved                                                                            
AttackingRangedDefensePct                                   percent  approved                                                                            
AttackingRangedHPPct                                        percent  approved                                                                            
AttackingRangedTroopAttackPct                               percent  added from pending_stat_keys                                                        
AttackingRangedTroopHPPct                                   percent  added from pending_stat_keys                                                        
AttackingSiegeAttackPct                                     percent  approved                                                                            
AttackingSiegeDefensePct                                    percent  approved                                                                            
AttackingSiegeHPPct                                         percent  approved                                                                            
AttackingSiegeMachineAndRangedTroopAttackPct                percent  approved (composite)                                                                
AttackingSiegeMachineAttackPct                              percent  approved                                                                            
AttackingSiegeMachineDefensePct                             percent  added from pending_stat_keys                                                        
AttackingSiegeMachineHPPct                                  percent  approved                                                                            
AttackingTroopAttackPct                                     percent  added from pending_stat_keys                                                        
AttackingTroopDeathToWoundedRatePct                         percent  seeded from pending                                                                 
AttackingTroopHPPct                                         percent  All troops HP when attacking                                                        
AttackingTroopsDefensePct                                   percent  approved                                                                            
ConstructionSpeedPct                                        percent  Main city construction speed                                                        
DefenseAndHPPct                                             percent  added from pending_stat_keys                                                        
DoubleItemsDropRateFromMonstersPct                          percent  loot stat                                                                           
DutyOfficerAttackingRangedAttackPct                         percent  Duty officer: attacking ranged attack                                               
DutyOfficerAttackingRangedDefensePct                        percent  Duty officer: attacking ranged defense                                              
DutyOfficerAttackingRangedHPPct                             percent  Duty officer: attacking ranged HP                                                   
DutyOfficerAttackingSiegeMachineAttackPct                   percent  Duty officer: attacking siege machine attack                                        
DutyOfficerAttackingSiegeMachineDefensePct                  percent  Duty officer: attacking siege machine defense                                       
DutyOfficerAttackingSiegeMachineHPPct                       percent  Duty officer: attacking siege machine HP                                            
DutyOfficerAttackingTroopsAttackPct                         percent  Duty officer: attacking troops attack                                               
DutyOfficerCraftingSpeedPct                                 percent  Duty officer: crafting speed                                                        
DutyOfficerDamagedSiegeMachineCapacityPct                   percent  Duty officer: damaged siege machine capacity                                        
DutyOfficerEnemyDefendingRangedAttackPct                    percent  Duty officer: enemy defending ranged attack (debuff)                                
DutyOfficerEnemyDefendingSiegeMachineAttackInRallyPct       percent  Duty officer: enemy defending siege machine attack in rally (debuff)                
DutyOfficerEnemyDefendingSiegeMachineAttackPct              percent  Duty officer: enemy defending siege machine attack (debuff)                         
DutyOfficerEnemyRangedAttackPct                             percent  Duty officer: enemy ranged attack (debuff)                                          
DutyOfficerEnemyRangedDefensePct                            percent  Duty officer: enemy ranged defense (debuff)                                         
DutyOfficerEnemyRangedHPPct                                 percent  Duty officer: enemy ranged HP (debuff)                                              
DutyOfficerEnemySiegeMachineAttackPct                       percent  Duty officer: enemy siege machine attack (debuff)                                   
DutyOfficerEnemySiegeMachineDefensePct                      percent  Duty officer: enemy siege machine defense (debuff)                                  
DutyOfficerEnemySiegeMachineHPPct                           percent  Duty officer: enemy siege machine HP (debuff)                                       
DutyOfficerEnemyTroopDefensePct                             percent  Duty officer: enemy troop defense debuff                                            
DutyOfficerEnemyTroopHPPct                                  percent  Duty officer: enemy troop HP (debuff)                                               
DutyOfficerGroundDefensePct                                 percent  Duty officer: ground defense                                                        
DutyOfficerGroundHPPct                                      percent  Duty officer: ground HP                                                             
DutyOfficerInCityGroundAttackPct                            percent  Duty officer (in-city): ground troops attack                                        
DutyOfficerInCityGroundDefensePct                           percent  Duty officer (in-city): ground troops defense                                       
DutyOfficerInCityGroundHPPct                                percent  Duty officer (in-city): ground troops HP                                            
DutyOfficerInCityMountedAttackPct                           percent  Duty officer (in-city): mounted troops attack                                       
DutyOfficerInCityMountedDefensePct                          percent  Duty officer (in-city): mounted troops defense                                      
DutyOfficerInCityMountedHPPct                               percent  Duty officer (in-city): mounted troops HP                                           
DutyOfficerInCityRangedAttackPct                            percent  Duty officer (in-city): ranged troops attack                                        
DutyOfficerInCityRangedDefensePct                           percent  Duty officer (in-city): ranged troops defense                                       
DutyOfficerInCityRangedHPPct                                percent  Duty officer (in-city): ranged troops HP                                            
DutyOfficerInCitySiegeMachineAttackPct                      percent  Duty officer (in-city): siege machines attack                                       
DutyOfficerInCitySiegeMachineDefensePct                     percent  Duty officer (in-city): siege machines defense                                      
