Alessandra | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Alessandra.txt | 22 | EnemyInCityTroopWoundedToDeathRatePct +10
Alfred the Great | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Alfred_the_Great.txt | 27 | EnemyInCityTroopWoundedToDeathRatePct +10
Amr ibn al-As | MayorDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 3 |  | data/import/Amr_ibn_al-As.txt | 25 | MayorDeathToSurvivalRatePct +15
Amr ibn al-As | MayorSubCityDeathToSurvivalRatePct | 10.0 | Specialty | SPECIALTY 1 | 5 | data/import/Amr_ibn_al-As.txt | 41 | SubCityDeathToSurvivalRatePct +10
Andrew Jackson | MayorDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 3 |  | data/import/Andrew_Jackson.txt | 26 | MayorSubCityDeathToSurvivalRatePct +10
André Masséna | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/André_Masséna.txt | 19 | EnemyInCityTroopWoundedToDeathRatePct +10
Arminius | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Specialty | SPECIALTY 3 | 5 | data/import/Arminius.txt | 72 | EnemyWoundedToDeathWhenAttackingPct +10
Arminius | MayorSubCityDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Arminius.txt | 31 | SubCityDeathToSurvivalRatePct +10
Aurelian | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Aurelian.txt | 22 | EnemyInCityTroopWoundedToDeathRatePct +10
Baldwin IV | MayorDeathToSurvivalRatePct | 10.0 | Ascension | Ascension 3 | 3 | data/import/Baldwin_IV.txt | 35 | WhenGeneralIsTheMayor_SubCityDeathIntoSurvivalRatePct +10
Barbarossa | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Specialty | SPECIALTIES |  | data/import/Barbarossa.txt | 59 | EnemyWoundedToDeathWhenAttackingPct +10
Bertrand du Guesclin | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | Ascension 2 | 2 | data/import/Bertrand_du_Guesclin.txt | 25 | EnemyInCityTroopWoundedToDeathRatePct +10
Carus | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Carus.txt | 23 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Casimir Pulaski | EnemyInCityTroopWoundedToDeathRatePct | 8.0 | Ascension | ASCENSION 2 |  | data/import/Casimir_Pulaski.txt | 17 | EnemyInCityTroopWoundedToDeathRatePct +8
Catherine II | MayorDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 3 |  | data/import/Catherine_II.txt | 28 | MayorDeathToSurvivalRatePct +10
Charles Martel | MayorDeathToSurvivalRatePct | 10.0 | Ascension | Ascension 3 | 3 | data/import/Charles_Martel.txt | 36 | SubordinateCityDeathToSurvivalRatePct +10 (when General is the Mayor)
Charles Martel | MayorDeathToSurvivalRatePct | 1.0 | Specialty | Specialty 2 | Trapping | 1 | data/import/Charles_Martel.txt | 74 | SubordinateCityDeathToSurvivalRatePct +1
Charles Martel | MayorDeathToSurvivalRatePct | 1.0 | Specialty | Specialty 2 | Trapping | 2 | data/import/Charles_Martel.txt | 77 | SubordinateCityDeathToSurvivalRatePct +1
Charles Martel | MayorDeathToSurvivalRatePct | 1.0 | Specialty | Specialty 2 | Trapping | 3 | data/import/Charles_Martel.txt | 80 | SubordinateCityDeathToSurvivalRatePct +1
Charles Martel | MayorDeathToSurvivalRatePct | 2.0 | Specialty | Specialty 2 | Trapping | 4 | data/import/Charles_Martel.txt | 83 | SubordinateCityDeathToSurvivalRatePct +2
Charles Martel | MayorDeathToSurvivalRatePct | 1.0 | Specialty | Specialty 2 | Trapping | 5 | data/import/Charles_Martel.txt | 86 | SubordinateCityDeathToSurvivalRatePct +1
Charles Martel | MayorDeathToSurvivalRatePct | 2.0 | Specialty | Specialty 4 | Battle of Tours | 1 | data/import/Charles_Martel.txt | 103 | SubordinateCityDeathToSurvivalRatePct +2
Charles Martel | MayorDeathToSurvivalRatePct | 2.0 | Specialty | Specialty 4 | Battle of Tours | 2 | data/import/Charles_Martel.txt | 106 | SubordinateCityDeathToSurvivalRatePct +2
Charles Martel | MayorDeathToSurvivalRatePct | 2.0 | Specialty | Specialty 4 | Battle of Tours | 3 | data/import/Charles_Martel.txt | 109 | SubordinateCityDeathToSurvivalRatePct +2
Charles Martel | MayorDeathToSurvivalRatePct | 2.0 | Specialty | Specialty 4 | Battle of Tours | 4 | data/import/Charles_Martel.txt | 112 | SubordinateCityDeathToSurvivalRatePct +2
Charles Martel | MayorDeathToSurvivalRatePct | 2.0 | Specialty | Specialty 4 | Battle of Tours | 5 | data/import/Charles_Martel.txt | 115 | SubordinateCityDeathToSurvivalRatePct +2
Charles XII | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Charles_XII.txt | 23 | EnemyInCityTroopWoundedToDeathRatePct +10
Charles the Great | MayorDeathToSurvivalRatePct | 20.0 | Ascension | ASCENSION 3 |  | data/import/Charles_the_Great_Awakened.txt | 31 | MayorDeathToSurvivalRateSubordinateCityPct +20
Charles the Great | MayorDeathToSurvivalRatePct | 6.0 | Specialty | SPECIALTY 2 | 5 | data/import/Charles_the_Great_Awakened.txt | 57 | MayorDeathToSurvivalRateSubordinateCityPct +6
Cheng Yaojin | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Covenant | COVENANT 2 |  | data/import/Cheng_Yaojin.txt | 64 | EnemyWoundedIntoDeathWhenAttackingPct +10
Cimon | MayorDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Cimon.txt | 28 | WhenGeneralIsTheMayor_SubCityDeathIntoSurvivalRatePct +10
Cnut the Great | MayorSubCityDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 3 |  | data/import/Cnut_the_Great.txt | 35 | WhenGeneralIsMayorDeathIntoSurvivalRateInThisSubordinateCityPct +15
Constantine the Great | MayorDeathToSurvivalRatePct | 10.0 | BaseSkill | Roman Emperor |  | data/import/Constantine.txt | 13 | MayorSubCityTroopDeathToSurvivalRatePct +10
Constantine the Great | MayorDeathToSurvivalRatePct | 10.0 | Ascension | Ascension 3 | 3 | data/import/Constantine.txt | 35 | MayorSubCityDeathToSurvivalRatePct +10
Darius I | MayorDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 3 |  | data/import/Darius_I.txt | 29 | MayorDeathToSurvivalRatePct +15
David Farragut | MayorDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 3 |  | data/import/David_Farragut.txt | 28 | MayorSubCityDeathToSurvivalRatePct +10
Douglas | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Douglas.txt | 25 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Edward the Black Prince | EnemyInCityTroopWoundedToDeathRatePct | 8.0 | Ascension | ASCENSION 2 |  | data/import/Edward_the_Black_Prince.txt | 23 | EnemyInCityTroopWoundedIntoDeathRatePct +8
Eleanor | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Eleanor.txt | 22 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Empress Dowager Cixi | MayorDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 3 |  | data/import/Empress_Dowager_Cixi.txt | 25 | MayorDeathToSurvivalRatePct +10
Epaminondas | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Epaminondas.txt | 22 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Gaius Octavius | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Gaius_Octavius.txt | 25 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Genghis Khan | EnemyInCityTroopWoundedToDeathRatePct | 8.0 | Ascension | ASCENSION 2 |  | data/import/Genghis_Khan.txt | 17 | EnemyInCityTroopWoundedIntoDeathRatePct +8
George A. Custer | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/George_A_Custer.txt | 21 | EnemyInCityTroopWoundedToDeathRatePct +10
Gilgamesh | MayorDeathToSurvivalRatePct | 20.0 | Ascension | ASCENSION 3 |  | data/import/Gilgamesh.txt | 29 | MayorDeathToSurvivalRatePct +20
Guan Yu | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Guan_Yu.txt | 21 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Gwon Ryul | MayorDeathToSurvivalRatePct | 6.0 | Specialty | SPECIALTY 2 | 5 | data/import/Gwon_Ryul.txt | 47 | MayorSubCityDeathToSurvivalRatePct +6
Harald | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Specialty | SPECIALTY 4 | 5 | data/import/Harald.txt | 61 | EnemyWoundedToDeathWhenAttackingPct +10
Harald | MayorSubCityDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 3 |  | data/import/Harald.txt | 30 | SubordinateCityDeathIntoSurvivalRatePct +15
Himiko | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Specialty | SPECIALTY 3 | 5 | data/import/Himiko.txt | 42 | EnemyWoundedToDeathWhenAttackingPct +10
Hōjō Ujiyasu | MayorDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 3 |  | data/import/HoJo_Ujiyasu.txt | 26 | WhenGeneralIsTheMayor_SubCityDeathIntoSurvivalRatePct +15
Ii Naomasa | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Ii_Naomasa.txt | 18 | EnemyInCityTroopWoundedToDeathRatePct +10
James Conrad | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/James_Conrad.txt | 22 | EnemyInCityTroopWoundedIntoDeathRatePct +10
